time,btc_price,eth_price
2025-12-17 02:41:46,87357.54,2951.53
2025-12-17 02:41:48,87357.53,2951.53
2025-12-17 02:41:49,87357.53,2951.53
2025-12-17 02:41:50,87357.53,2951.53
2025-12-17 02:41:52,87357.53,2951.53
2025-12-17 02:41:53,87357.53,2951.53
2025-12-17 02:41:54,87357.54,2951.54
2025-12-17 02:41:56,87357.54,2951.54
2025-12-17 02:41:57,87357.53,2951.54
2025-12-17 02:41:58,87357.54,2951.53
2025-12-17 02:42:00,87357.53,2951.53
2025-12-17 02:42:01,87357.53,2951.81
2025-12-17 02:42:02,87357.54,2951.8
2025-12-17 02:42:04,87357.53,2951.8
2025-12-17 02:42:05,87357.53,2951.81
2025-12-17 02:42:06,87357.54,2951.55
2025-12-17 02:42:08,87357.53,2951.55
2025-12-17 02:42:09,87357.53,2951.54
2025-12-17 02:42:11,87357.54,2951.54
2025-12-17 02:42:12,87357.53,2951.54
2025-12-17 02:42:13,87357.53,2951.53
2025-12-17 02:42:15,87357.53,2951.53
2025-12-17 02:42:16,87341.6,2951.06
2025-12-17 02:42:17,87341.59,2951.07
2025-12-17 02:42:19,87341.59,2951.07
2025-12-17 02:42:20,87341.59,2950.94
2025-12-17 02:42:21,87341.59,2950.95
2025-12-17 02:42:23,87347.32,2951.32
2025-12-17 02:42:24,87347.32,2951.32
2025-12-17 02:42:25,87347.31,2951.57
2025-12-17 02:42:27,87347.31,2951.57
2025-12-17 02:42:28,87347.31,2951.58
2025-12-17 02:42:29,87342.96,2951.58
2025-12-17 02:42:31,87342.95,2951.57
2025-12-17 02:42:32,87342.96,2951.58
2025-12-17 02:42:34,87345.36,2952.02
2025-12-17 02:42:35,87345.36,2951.89
2025-12-17 02:42:36,87345.36,2951.89
2025-12-17 02:42:37,87345.36,2951.9
2025-12-17 02:42:39,87345.36,2951.9
2025-12-17 02:42:40,87345.37,2951.9
2025-12-17 02:42:41,87345.37,2951.9
2025-12-17 02:42:43,87347.23,2951.9
2025-12-17 02:42:44,87348.15,2951.9
2025-12-17 02:42:45,87348.15,2951.89
2025-12-17 02:42:47,87348.15,2951.9
2025-12-17 02:42:48,87356.88,2951.99
2025-12-17 02:42:50,87356.87,2952.03
2025-12-17 02:42:51,87363.37,2952.03
2025-12-17 02:42:52,87363.37,2952.04
2025-12-17 02:42:54,87363.38,2952.04
2025-12-17 02:42:55,87363.38,2952.22
2025-12-17 02:42:56,87363.38,2952.32
2025-12-17 02:42:58,87376.21,2952.61
2025-12-17 02:42:59,87376.23,2952.62
2025-12-17 02:43:00,87379.67,2952.81
2025-12-17 02:43:02,87379.66,2952.82
2025-12-17 02:43:03,87379.66,2952.82
2025-12-17 02:43:04,87379.67,2952.82
2025-12-17 02:43:06,87376.22,2952.81
2025-12-17 02:43:07,87376.22,2952.81
2025-12-17 02:43:08,87376.22,2952.81
2025-12-17 02:43:10,87376.22,2952.81
2025-12-17 02:43:11,87376.21,2952.81
2025-12-17 02:43:12,87376.21,2952.81
2025-12-17 02:43:13,87376.21,2952.81
2025-12-17 02:43:15,87376.21,2952.81
2025-12-17 02:43:16,87376.21,2952.82
2025-12-17 02:43:17,87376.22,2952.82
2025-12-17 02:43:19,87376.22,2952.82
2025-12-17 02:43:20,87376.21,2952.82
2025-12-17 02:43:21,87376.22,2952.81
2025-12-17 02:43:23,87376.21,2952.81
2025-12-17 02:43:24,87376.21,2952.82
2025-12-17 02:43:25,87376.22,2952.82
2025-12-17 02:43:27,87376.21,2952.81
2025-12-17 02:43:28,87376.22,2952.81
2025-12-17 02:43:29,87376.22,2952.81
2025-12-17 02:43:31,87376.22,2952.82
2025-12-17 02:43:32,87376.22,2952.82
2025-12-17 02:43:33,87376.21,2952.82
2025-12-17 02:43:35,87376.21,2952.82
2025-12-17 02:43:36,87376.22,2952.82
2025-12-17 02:43:37,87376.21,2952.82
2025-12-17 02:43:39,87376.22,2952.82
2025-12-17 02:43:40,87376.21,2952.81
2025-12-17 02:43:41,87376.22,2952.82
2025-12-17 02:43:43,87376.22,2952.82
2025-12-17 02:43:44,87376.21,2952.81
2025-12-17 02:43:45,87376.22,2952.81
2025-12-17 02:43:47,87379.65,2953.0
2025-12-17 02:43:48,87381.13,2953.56
2025-12-17 02:43:49,87381.33,2953.57
2025-12-17 02:43:51,87400.0,2954.72
2025-12-17 02:43:52,87403.17,2954.98
2025-12-17 02:43:53,87404.0,2954.78
2025-12-17 02:43:55,87404.0,2954.78
2025-12-17 02:43:56,87403.99,2954.78
2025-12-17 02:43:57,87403.99,2954.79
2025-12-17 02:43:59,87403.99,2954.79
